feature_name,top_returns,top_mfe,top_mae,top_short_horizon,top_long_horizon
absorb_refill_ask_fut_10bps_1s_eth,False,False,False,True,False
absorb_refill_bid_fut_10bps_1s_btc,False,False,False,True,False
absorb_refill_bid_fut_2bps_1s_eth,False,True,False,True,False
absorb_refill_bid_fut_5bps_1s_btc,False,False,False,True,False
absorb_refill_mid_fut_5bps_1s_btc,False,False,False,True,False
absorption_asymmetry_fut_1bps_15s_btc,False,False,False,True,False
absorption_asymmetry_fut_1bps_60s_eth,False,True,False,True,True
absorption_asymmetry_spot_1bps_15s_btc,False,False,False,True,False
absorption_asymmetry_spot_1bps_60s_btc,False,False,False,True,False
absorption_break_fut_15s_btc,False,False,False,True,False
absorption_break_spot_60s_btc,False,False,False,True,False
absorption_volume_ask_fut_1bps_15s_btc,False,False,False,True,False
absorption_volume_ask_fut_1bps_15s_eth,False,False,True,True,False
absorption_volume_ask_fut_1bps_1s_btc,True,False,False,False,False
absorption_volume_ask_fut_1bps_1s_eth,False,False,True,True,False
absorption_volume_ask_fut_1bps_60s_eth,False,False,False,True,False
absorption_volume_ask_spot_1bps_15s_btc,False,False,False,True,False
absorption_volume_ask_spot_1bps_15s_eth,False,False,False,True,False
absorption_volume_ask_spot_1bps_1s_eth,False,False,False,True,False
absorption_volume_ask_spot_1bps_60s_eth,False,False,False,True,False
absorption_volume_bid_fut_1bps_1s_btc,False,True,False,False,False
absorption_volume_bid_fut_1bps_1s_eth,False,True,False,True,True
absorption_volume_bid_fut_1bps_60s_eth,False,True,False,True,False
absorption_volume_bid_spot_1bps_15s_eth,False,True,False,True,False
absorption_volume_bid_spot_1bps_60s_eth,False,True,False,True,False
aggr_absorp_ratio_bid_fut_5bps_1s_eth,False,False,False,True,False
aggressor_absorption_ratio_fut_2bps_60s_btc,False,False,True,True,True
aggressor_absorption_ratio_fut_2bps_60s_eth,False,False,True,False,False
ask_churn_fut_2bps_60s_eth,False,False,False,True,False
ask_churn_fut_5bps_15s_btc,False,False,True,False,False
ask_churn_fut_5bps_15s_eth,False,True,False,True,False
ask_churn_fut_5bps_60s_eth,False,True,False,True,False
ask_churn_spot_2bps_15s_btc,False,False,False,True,False
ask_churn_spot_2bps_60s_btc,True,False,False,True,False
ask_churn_spot_2bps_60s_eth,False,False,False,True,False
ask_churn_spot_5bps_15s_eth,True,False,False,True,False
ask_churn_spot_5bps_60s_btc,False,True,False,False,True
ask_churn_spot_5bps_60s_eth,True,False,False,True,False
avg_trade_size_fut_300s_btc,False,False,True,True,True
avg_trade_size_fut_300s_eth,True,False,False,False,True
avg_trade_size_fut_60s_btc,False,False,False,True,False
